Date,Close,Volume,100_MA
2019-02-15,54.66,2537500,49.231600020000045
2019-02-19,55.279999,1440200,49.29240000000004
2019-02-20,54.18,1676900,49.32980001000004
2019-02-21,53.029999,1911600,49.35109998000004
2019-02-22,56.669998,3844500,49.397699980000056
2019-02-25,59.009997999999996,12654100,49.47399995000004
2019-02-26,68.650002,23794200,49.660899980000046
2019-02-27,71.739998,6781600,49.90309996000005
2019-02-28,71.269997,4879100,50.13439994000005
2019-03-01,72.769997,3377000,50.40189991000005
2019-03-04,68.989998,5146000,50.64779987000004
2019-03-05,70.610001,2399800,50.92399986000004
2019-03-06,70.040001,1758500,51.20189987000004
2019-03-07,67.239998,6632000,51.47449985000005
2019-03-08,67.769997,3291900,51.76229980000006
2019-03-11,70.660004,3015300,52.05339985000006
2019-03-12,71.150002,1777700,52.35339985000006
2019-03-13,70.150002,2353800,52.62079987000006
2019-03-14,69.910004,1593800,52.88819993000006
2019-03-15,69.889999,5164000,53.15459992000007
2019-03-18,69.550003,1962800,53.435199930000074
2019-03-19,68.5,1985600,53.68329994000007
2019-03-20,68.900002,1812000,53.94559998000007
2019-03-21,69.440002,1362200,54.221899990000075
2019-03-22,66.019997,2262200,54.44709996000008
2019-03-25,67.860001,2396700,54.71699998000008
2019-03-26,67.739998,1431700,55.00469995000009
2019-03-27,65.510002,1596400,55.24589998000008
2019-03-28,67.129997,1456100,55.49199995000008
2019-03-29,67.220001,1219100,55.72959997000008
2019-04-01,68.160004,1679000,55.98280001000008
2019-04-02,69.730003,3552100,56.258800030000074
2019-04-03,69.459999,1912900,56.54910002000007
2019-04-04,68.300003,2704500,56.73200007000007
2019-04-05,68.220001,1291600,56.87320010000007
2019-04-08,67.650002,1049700,57.02960014000008
2019-04-09,66.690002,1248700,57.189400170000084
2019-04-10,68.209999,1064700,57.39800018000008
2019-04-11,67.650002,1106400,57.59740021000009
2019-04-12,65.379997,2070900,57.76400017000009
2019-04-15,66.199997,1364800,57.95340016000009
2019-04-16,66.279999,1267000,58.16170014000009
2019-04-17,64.25,1575900,58.372100150000094
2019-04-18,63.400002,1813000,58.5659001700001
2019-04-22,63.509997999999996,970000,58.748300150000084
2019-04-23,65.220001,1767600,58.91820016000009
2019-04-24,66.08000200000001,1389600,59.09320016000009
2019-04-25,67.849998,1691200,59.25790013000008
2019-04-26,67.709999,1203700,59.40700013000008
2019-04-29,69.410004,1409200,59.56070016000008
2019-04-30,67.540001,2391700,59.67000016000008
2019-05-01,66.790001,1671800,59.78920018000009
2019-05-02,68.07,1365500,59.91490018000009
2019-05-03,69.650002,1579600,60.072200220000084
2019-05-06,69.029999,1772200,60.20910021000009
2019-05-07,66.970001,1935000,60.32600023000008
2019-05-08,68.08000200000001,3978300,60.432500250000075
2019-05-09,60.759997999999996,10280300,60.48960024000008
2019-05-10,61.799999,4106900,60.564200230000075
2019-05-13,57.23,4066700,60.62480025000007
2019-05-14,58.82,1871100,60.69450027000007
2019-05-15,61.889998999999996,2297700,60.81280025000007
2019-05-16,63.650002,2350800,60.966700290000084
2019-05-17,62.779999,1840700,61.15770028000008
2019-05-20,63.119999,1838100,61.35770028000008
2019-05-21,65.209999,2027700,61.540800250000075
2019-05-22,64.010002,1177400,61.70740029000008
2019-05-23,63.32,2149900,61.86770028000007
2019-05-24,64.709999,1062900,62.03910027000007
2019-05-28,65.029999,1940500,62.21940026000007
2019-05-29,62.130001,1715200,62.380400280000075
2019-05-30,62.950001,1223300,62.512900280000075
2019-05-31,62.310001,1557800,62.620300290000074
2019-06-03,61.07,1826700,62.69220028000007
2019-06-04,61.25,2289600,62.77700028000007
2019-06-05,61.490002000000004,1500900,62.87850030000007
2019-06-06,61.959998999999996,1267800,62.97740029000007
2019-06-07,63.889998999999996,1925900,63.095900270000065
2019-06-10,65.309998,2274900,63.20570023000007
2019-06-11,67.18,2668700,63.33220024000006
2019-06-12,69.16999799999999,3210100,63.47800022000007
2019-06-13,70.050003,2721700,63.62020023000007
2019-06-14,67.800003,1858500,63.762800250000076
2019-06-17,68.459999,1316200,63.90910022000007
2019-06-18,66.949997,2433400,64.03520019000007
2019-06-19,68.139999,1443700,64.16660018000007
2019-06-20,68.83000200000001,1699600,64.30570022000006
2019-06-21,65.779999,2333700,64.42830021000006
2019-06-24,63.93,2252400,64.52570022000006
2019-06-25,61.790001000000004,3151300,64.59710021000006
2019-06-26,60.360001000000004,2348300,64.65690021000006
2019-06-27,62.360001000000004,3215100,64.73310020000007
2019-06-28,61.369999,16253800,64.79240020000006
2019-07-01,62.060001,4601500,64.88710021000006
2019-07-02,62.639998999999996,2735000,64.99820021000005
2019-07-03,64.279999,1028900,65.10950018000005
2019-07-05,63.380001,1462600,65.21180017000005
2019-07-08,64.010002,1624000,65.29360017000005
2019-07-09,66.860001,3057100,65.41180017000005
2019-07-10,66.449997,2326700,65.53570013000005
2019-07-11,64.989998,1455600,65.63900011000005
2019-07-12,64.599998,1401300,65.73220010000004
2019-07-15,65.550003,1194300,65.84590013000005
2019-07-16,64.209999,1422400,65.95770013000003
2019-07-17,63.419998,1628900,66.02520013000004
2019-07-18,65.199997,1981900,66.08710012000003
2019-07-19,65.849998,1354100,66.05910008000002
2019-07-22,68.529999,2109100,66.02700009000003
2019-07-23,67.82,2647600,65.99250012000002
2019-07-24,68.050003,2303300,65.94530018000002
2019-07-25,68.730003,2460700,65.94270023000001
2019-07-26,70.860001,2370200,65.94520023000001
2019-07-29,69.120003,1500500,65.93600025000002
2019-07-30,68.0,1285300,65.94360027000002
2019-07-31,67.019997,1957100,65.93610027000001
2019-08-01,68.139999,5424300,65.91090022000002
2019-08-02,59.709998999999996,8312200,65.79650019
2019-08-05,53.939999,6277700,65.63440016
2019-08-06,55.389998999999996,3653500,65.48920011
2019-08-07,56.060001,3314300,65.35090013
2019-08-08,58.040001000000004,3183100,65.23580011
2019-08-09,56.43,1959200,65.11510011
2019-08-12,54.970001,1513000,64.9758001
2019-08-13,55.740002000000004,1471800,64.8388001
2019-08-14,52.84,1733200,64.70700013
2019-08-15,51.709998999999996,2620100,64.54550010999999
2019-08-16,52.610001000000004,1810600,64.39420014
2019-08-19,52.41,3118600,64.26320012
2019-08-20,52.889998999999996,2168300,64.12080013999999
2019-08-21,54.25,2052400,63.99110012999999
2019-08-22,55.400002,2327800,63.86350011
2019-08-23,54.09,2151700,63.707100080000004
2019-08-26,53.580002,1558100,63.54830011
